"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 09 13:54:22 CST 2020","Thu Jul 09 13:54:38 CST 2020","15988","src","test_CBJK","TestCBJKManager","","","test_ship_manager_12XSY",""
"passed","Thu Jul 09 13:55:28 CST 2020","Thu Jul 09 13:55:36 CST 2020","8029","src","test_LSGJ","TestLSGJ","","","test_gj_2search",""
"passed","Thu Jul 09 13:56:24 CST 2020","Thu Jul 09 13:56:38 CST 2020","14189","src","test_RYJK","TestRYJKManager","","","test_people_manager_2XXY",""
"passed","Thu Jul 09 13:57:06 CST 2020","Thu Jul 09 13:57:28 CST 2020","21704","src","test_SWJK","TestSWJKManager","","","test_sw_1history",""
"passed","Thu Jul 09 14:01:13 CST 2020","Thu Jul 09 14:01:34 CST 2020","20974","src","test_ZMJK","TestZMJKManager","","","test_zm_1search",""
"broken","Thu Jul 09 13:58:39 CST 2020","Thu Jul 09 13:58:51 CST 2020","12157","src","test_SXTSZ","TestSXTSZ","","","test_camera_1delete",""
"passed","Thu Jul 09 13:55:36 CST 2020","Thu Jul 09 13:55:39 CST 2020","3127","src","test_LSGJ","TestLSGJ","","","test_gj_3reset",""
"passed","Thu Jul 09 13:56:07 CST 2020","Thu Jul 09 13:56:24 CST 2020","16302","src","test_RYJK","TestRYJKManager","","","test_people_manager_2XSY",""
"passed","Thu Jul 09 13:54:38 CST 2020","Thu Jul 09 13:54:53 CST 2020","15794","src","test_CBJK","TestCBJKManager","","","test_ship_manager_22XXY",""
"passed","Thu Jul 09 14:01:36 CST 2020","Thu Jul 09 14:01:56 CST 2020","19862","src","test_ZMJK","TestZMJKManager","","","test_zm_3threholdset",""
"passed","Thu Jul 09 13:59:19 CST 2020","Thu Jul 09 14:00:24 CST 2020","65005","src","test_XTSZ","TestXTSZ","","","test_xtsz_other_update",""
"passed","Thu Jul 09 14:01:34 CST 2020","Thu Jul 09 14:01:36 CST 2020","2197","src","test_ZMJK","TestZMJKManager","","","test_zm_2reset",""
"passed","Thu Jul 09 13:55:22 CST 2020","Thu Jul 09 13:55:28 CST 2020","6544","src","test_LSGJ","TestLSGJ","","","test_gj_1viewfive",""
"passed","Thu Jul 09 14:00:24 CST 2020","Thu Jul 09 14:00:44 CST 2020","20092","src","test_XTSZ","TestXTSZ","","","test_xtsz_zm_update",""
"passed","Thu Jul 09 13:57:28 CST 2020","Thu Jul 09 13:57:50 CST 2020","22662","src","test_SWJK","TestSWJKManager","","","test_sw_2history_reset",""
"passed","Thu Jul 09 13:57:50 CST 2020","Thu Jul 09 13:58:11 CST 2020","20109","src","test_SWJK","TestSWJKManager","","","test_sw_3threholdset",""
